song_id,song_name,artists,genres
10229814,Nights Like This (feat. Ty Dolla $ign),Kehlani; Ty Dolla $ign,"dance pop,pop,pop rap,post-teen pop,r&b,rap,hip hop,pop,pop rap,rap,trap"
10250822,Sunrise,GFRIEND,"k-pop,k-pop girl group"
5182484,Galway Girl,Ed Sheeran,"pop,uk pop"
9410495,Meant to Be (feat. Florida Georgia Line),Bebe Rexha; Florida Georgia Line,"contemporary country,country,country pop,country road,modern country rock,dance pop,pop,post-teen pop"
10260703,7 rings,Ariana Grande,"dance pop,pop,post-teen pop"
10258695,守破離,Eman Lam,"cantopop,chinese indie"
10256144,BIG PLANS,Why Don't We,"boy band,dance pop,pop,post-teen pop"
3305903,安靜,Jay Chou,"c-pop,mandopop,taiwan pop"
10208738,Undecided,Chris Brown,"dance pop,pop,pop rap,r&b,rap"
10088608,"太難開始 - 劇集 """"救妻同學會"""" 片尾曲",Hubert Wu,cantopop
6969196,As If It's Your Last,BLACKPINK,"k-pop,k-pop girl group"
10278366,MIDDLE CHILD,J. Cole,"conscious hip hop,hip hop,nc hip hop,pop rap,rap"
10280494,i'm so tired...,Lauv; Troye Sivan,"dance pop,electropop,pop,post-teen pop,viral pop,dance pop,pop"
10280495,Swan Song,Dua Lipa,"dance pop,pop,post-teen pop,uk pop"
10279783,一種永遠,Joey Yung,"c-pop,cantopop"
10280612,Anxiety (with Selena Gomez),Julia Michaels; Selena Gomez,"dance pop,pop,post-teen pop,dance pop,pop,post-teen pop"
10216612,靈魂伴侶 - 粵語版,黃齡,mainland chinese pop
9381317,FOREVER YOUNG - KR Ver.,BLACKPINK,"k-pop,k-pop girl group"
6867465,BOOMBAYAH - KR Ver.,BLACKPINK,"k-pop,k-pop girl group"
10166060,a lot,21 Savage,"atl hip hop,pop rap,rap,southern hip hop,trap"
6878296,PLAYING WITH FIRE - KR Ver.,BLACKPINK,"k-pop,k-pop girl group"
10259116,7 Minutes,Dean Lewis,"australian pop,pop"
10260962,First Off (feat. Travis Scott),Future; Travis Scott,"pop,pop rap,rap,atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap"
10259226,Keanu Reeves,Logic,"conscious hip hop,dmv rap,hip hop,pop rap,rap"
10309957,DDU-DU DDU-DU,BLACKPINK,"k-pop,k-pop girl group"
10309966,Forever Young,BLACKPINK,"k-pop,k-pop girl group"
10307722,bury a friend,Billie Eilish,"electropop,pop"
10050190,La Di Da,Lennon Stella,"canadian pop,dance pop,electropop,pop,post-teen pop"
10311944,No,CLC,"k-pop,k-pop girl group"
10311763,無憾的生存,Dear Jane,"c-pop,cantopop"
10281556,What A Time (feat. Niall Horan),Julia Michaels; Niall Horan,"dance pop,neo mellow,pop,post-teen pop,dance pop,pop,post-teen pop"
10308924,Bones (feat. OneRepublic),Galantis; OneRepublic,"neo mellow,piano rock,pop,pop rock,big room,dance pop,edm,electro house,pop,tropical house"
10311764,偽人,Alfred Hui,"c-pop,cantopop"
10311938,很久不見,Feanna Wong,cantopop
10311936,"孤身走 - 劇集 """"獨孤天下"""" 主題曲",Shiga Lin,"c-pop,cantopop"
10259356,Don't Call Me Up,Mabel,"dance pop,pop,post-teen pop,tropical house,uk pop"
10171223,Thotiana,Blueface,cali rap
811743,我代你哭,Ronald Cheng,"c-pop,cantopop,classic cantopop,mandopop"
5090584,財神到,Sam Hui,"c-pop,cantopop,classic cantopop,vintage chinese pop"
3984661,你最紅,Twins,"c-pop,cantopop,classic cantopop"
5090583,喜氣洋洋,Various Artists,""
5088394,八星報喜賀賀喜 : 八星報喜 / 財神到 / 恭喜你 / 喜氣洋洋 / 迎春花 / 大家恭喜 / 八星報喜,Twins,"c-pop,cantopop,classic cantopop"
5044591,祝福你,George Lam,"c-pop,cantopop,classic cantopop,vintage chinese pop"
5044594,財神到,George Lam,"c-pop,cantopop,classic cantopop,vintage chinese pop"
10231861,诸事如意,988 DJs,""
11434,Love Yourself,Justin Bieber,"canadian pop,dance pop,pop,post-teen pop"
9776784,Lost In Japan,Shawn Mendes,"canadian pop,pop,post-teen pop,viral pop"
10341048,7 rings,Ariana Grande,"dance pop,pop,post-teen pop"
10341049,"thank u, next",Ariana Grande,"dance pop,pop,post-teen pop"
10341036,"break up with your girlfriend, i'm bored",Ariana Grande,"dance pop,pop,post-teen pop"
10341042,needy,Ariana Grande,"dance pop,pop,post-teen pop"
10347915,NASA,Ariana Grande,"dance pop,pop,post-teen pop"
10341043,bloodline,Ariana Grande,"dance pop,pop,post-teen pop"
10341041,imagine,Ariana Grande,"dance pop,pop,post-teen pop"
10347916,bad idea,Ariana Grande,"dance pop,pop,post-teen pop"
10341044,fake smile,Ariana Grande,"dance pop,pop,post-teen pop"
10347917,ghostin,Ariana Grande,"dance pop,pop,post-teen pop"
10339509,Who Do You Love (with 5 Seconds of Summer),The Chainsmokers; 5 Seconds of Summer,"boy band,dance pop,pop,post-teen pop,electropop,pop,tropical house"
10341037,make up,Ariana Grande,"dance pop,pop,post-teen pop"
10341047,in my head,Ariana Grande,"dance pop,pop,post-teen pop"
10339501,Talk,Khalid; Disclosure,"house,pop,uk dance,pop"
10340260,心有不甘 - 劇集 “皓鑭傳” 主題曲,HANA,cantopop
